group_pair,diff,lwr,upr,p.adj
3.3 hpf:+/+-control:+/+,-45.85000000000025,-176.73097372005805,85.03097372005755,0.9963657546496392
4 hpf:+/+-control:+/+,-29.262500000000273,-157.1343134624958,98.60931346249527,0.9999706596951754
4.5 hpf:+/+-control:+/+,-25.0450000000003,-159.8337263592229,109.74372635922231,0.9999978471224165
6 hpf:+/+-control:+/+,-51.72500000000019,-179.59681346249573,76.146813462495345,0.9854264717258763
control:+/--control:+/+,-7.275000000000375,-154.9286518486752,140.37865184867445,1
3.3 hpf:+/--control:+/+,-79.56611111111124,-194.99228038219562,35.860058159973136,0.5264643320338391
4 hpf:+/--control:+/+,-25.340000000000146,-148.87590827356559,98.1959082735653,0.9999924485272232
4.5 hpf:+/--control:+/+,-38.883571428571656,-157.26986652651635,79.50272366937305,0.9981382124240198
6 hpf:+/--control:+/+,-43.183888888889044,-158.61005815997342,72.24228038219533,0.9930126734057243
control:-/--control:+/+,-1.7400000000014302,-182.57805284390514,179.09805284390228,1
3.3 hpf:-/--control:+/+,-108.41800000000026,-248.49455340500344,31.65855340500292,0.3278751467383896
4 hpf:-/--control:+/+,-99.72142857142876,-230.60240229148656,31.159545148629036,0.3537423200771218
4.5 hpf:-/--control:+/+,-96.90300000000019,-220.43890827356563,26.63290827356525,0.306391517458802
6 hpf:-/--control:+/+,-215.09800000000016,-355.17455340500334,-75.02144659499697,5.215425809401708e-5
4 hpf:+/+-3.3 hpf:+/+,16.587499999999977,-91.48390720767934,124.65890720767929,0.999999820691345
4.5 hpf:+/+-3.3 hpf:+/+,20.80499999999995,-95.36827201728542,136.97827201728532,0.999998659362296
6 hpf:+/+-3.3 hpf:+/+,-5.874999999999943,-113.94640720767926,102.19640720767937,1
control:+/--3.3 hpf:+/+,38.574999999999875,-92.30597372005792,169.45597372005767,0.9994273203116049
3.3 hpf:+/--3.3 hpf:+/+,-33.71611111111099,-126.72916895923147,59.29694673700949,0.9948773221000352
4 hpf:+/--3.3 hpf:+/+,20.510000000000105,-82.39456263274012,123.41456263274033,0.9999947430733352
4.5 hpf:+/--3.3 hpf:+/+,6.966428571428594,-89.69557660474408,103.62843374760126,0.9999999999937959
6 hpf:+/--3.3 hpf:+/+,2.6661111111112064,-90.34694673700928,95.67916895923169,1
control:-/--3.3 hpf:+/+,44.10999999999882,-123.31350412661806,211.5335041266157,0.999841402418095
3.3 hpf:-/--3.3 hpf:+/+,-62.56800000000001,-184.83683982227646,59.700839822276436,0.9028295493786894
4 hpf:-/--3.3 hpf:+/+,-53.87142857142851,-165.4870979891731,57.744240846316075,0.9363639473125656
4.5 hpf:-/--3.3 hpf:+/+,-51.05299999999994,-153.95756263274018,51.85156263274028,0.9220050002547716
6 hpf:-/--3.3 hpf:+/+,-169.2479999999999,-291.5168398222763,-46.97916017772346,4.658826341942257e-4
4.5 hpf:+/+-4 hpf:+/+,4.217499999999973,-108.55483937220147,116.98983937220142,1
6 hpf:+/+-4 hpf:+/+,-22.46249999999992,-126.86939848915549,81.94439848915565,0.9999862946283328
control:+/--4 hpf:+/+,21.987499999999898,-105.88431346249564,149.85931346249544,0.9999992077146265
3.3 hpf:+/--4 hpf:+/+,-50.30361111111097,-139.03241323609518,38.425191013873246,0.8128316293829625
4 hpf:+/--4 hpf:+/+,3.9225000000001273,-95.1265807979172,102.97158079791745,1
4.5 hpf:+/--4 hpf:+/+,-9.621071428571383,-102.16789547432258,82.92575261717981,0.9999999990407031
6 hpf:+/--4 hpf:+/+,-13.921388888888771,-102.65019101387298,74.80741323609544,0.9999997605277474
control:-/--4 hpf:+/+,27.522499999998843,-137.55930132986336,192.60430132986104,0.9999994697953434
3.3 hpf:-/--4 hpf:+/+,-79.15549999999999,-198.1976798681555,39.886679868155525,0.5877889130539324
4 hpf:-/--4 hpf:+/+,-70.45892857142849,-178.53033577910782,37.61247863625083,0.620245436458779
4.5 hpf:-/--4 hpf:+/+,-67.64049999999992,-166.68958079791724,31.40858079791741,0.5425987097488576
6 hpf:-/--4 hpf:+/+,-185.83549999999988,-304.8776798681554,-66.79332013184437,3.5528393469874686e-5
6 hpf:+/+-4.5 hpf:+/+,-26.679999999999893,-139.45233937220132,86.09233937220155,0.9999560089475628
control:+/--4.5 hpf:+/+,17.769999999999925,-117.01872635922268,152.55872635922253,0.9999999762290386
3.3 hpf:+/--4.5 hpf:+/+,-54.52111111111094,-152.95687901022748,43.9146567880056,0.837154342403781
4 hpf:+/--4.5 hpf:+/+,-0.2949999999998454,-108.12598108737795,107.53598108737826,1
4.5 hpf:+/--4.5 hpf:+/+,-13.838571428571356,-115.72927128046838,88.05212842332567,0.9999999646131199
6 hpf:+/--4.5 hpf:+/+,-18.138888888888744,-116.57465678800529,80.2968790102278,0.9999980647285045
control:-/--4.5 hpf:+/+,23.30499999999887,-147.19075128332852,193.80075128332626,0.9999999614578272
3.3 hpf:-/--4.5 hpf:+/+,-83.37299999999996,-209.81603327236508,43.07003327236515,0.6017484569464511
4 hpf:-/--4.5 hpf:+/+,-74.67642857142846,-190.84970058871383,41.49684344585691,0.6429473412558766
4.5 hpf:-/--4.5 hpf:+/+,-71.85799999999989,-179.688981087378,35.972981087378216,0.5841248003308415
6 hpf:-/--4.5 hpf:+/+,-190.05299999999986,-316.49603327236497,-63.60996672763474,8.455389929229451e-5
control:+/--6 hpf:+/+,44.44999999999982,-83.42181346249572,172.32181346249536,0.9966418116885178
3.3 hpf:+/--6 hpf:+/+,-27.841111111111047,-116.56991323609526,60.887691013873166,0.9988587159312503
4 hpf:+/--6 hpf:+/+,26.385000000000048,-72.66408079791728,125.43408079791737,0.9998196207336055
4.5 hpf:+/--6 hpf:+/+,12.841428571428537,-79.70539547432266,105.38825261717973,0.9999999529206633
6 hpf:+/--6 hpf:+/+,8.54111111111115,-80.18769101387306,97.26991323609536,0.9999999996642412
control:-/--6 hpf:+/+,49.98499999999876,-115.09680132986344,215.06680132986097,0.9992273065957262
3.3 hpf:-/--6 hpf:+/+,-56.69300000000007,-175.73517986815557,62.349179868155446,0.9425059497630928
4 hpf:-/--6 hpf:+/+,-47.99642857142857,-156.0678357791079,60.07497863625075,0.9670920973185044
4.5 hpf:-/--6 hpf:+/+,-45.178,-144.22708079791732,53.87108079791733,0.9590610167509159
6 hpf:-/--6 hpf:+/+,-163.37299999999996,-282.41517986815546,-44.33082013184445,5.490936137375613e-4
3.3 hpf:+/--control:+/-,-72.29111111111087,-187.71728038219524,43.13505815997351,0.6830624469433415
4 hpf:+/--control:+/-,-18.06499999999977,-141.6009082735652,105.47090827356567,0.9999999054344775
4.5 hpf:+/--control:+/-,-31.60857142857128,-149.99486652651598,86.77772366937343,0.9998147328717909
6 hpf:+/--control:+/-,-35.90888888888867,-151.33505815997304,79.51728038219571,0.9989602640207459
control:-/--control:+/-,5.534999999998945,-175.30305284390477,186.37305284390266,1
3.3 hpf:-/--control:+/-,-101.14299999999989,-241.21955340500307,38.933553405003295,0.44571917442952047
4 hpf:-/--control:+/-,-92.44642857142838,-223.32740229148618,38.43454514862941,0.4840941591868535
4.5 hpf:-/--control:+/-,-89.62799999999982,-213.16390827356526,33.907908273565624,0.4373862005962209
6 hpf:-/--control:+/-,-207.82299999999978,-347.89955340500296,-67.7464465949966,1.1251220047814314e-4
4 hpf:+/--3.3 hpf:+/-,54.226111111111095,-28.13116107126585,136.58338329348805,0.604118996670312
4.5 hpf:+/--3.3 hpf:+/-,40.682539682539584,-33.727906595956796,115.09298596103596,0.8496886944178106
6 hpf:+/--3.3 hpf:+/-,36.3822222222222,-33.222376770548195,105.98682121499259,0.8876773528197346
control:-/--3.3 hpf:+/-,77.82611111110981,-77.81450378333818,233.4667260055578,0.9174507609457616
3.3 hpf:-/--3.3 hpf:+/-,-28.85188888888902,-134.4124897879558,76.70871201017775,0.9997569562585358
4 hpf:-/--3.3 hpf:+/-,-20.15531746031752,-113.168375308438,72.85774038780296,0.9999850173214805
4.5 hpf:-/--3.3 hpf:+/-,-17.33688888888895,-99.6941610712659,65.020383293488,0.9999895519777265
6 hpf:-/--3.3 hpf:+/-,-135.53188888888891,-241.09248978795569,-29.971287989822144,0.0018109223259997753
4.5 hpf:+/--4 hpf:+/-,-13.54357142857151,-100.00069719471496,72.91355433757194,0.9999997654450172
6 hpf:+/--4 hpf:+/-,-17.8438888888889,-100.20116107126584,64.51338329348805,0.9999850421935341
control:-/--4 hpf:+/-,23.599999999998715,-138.1464716310684,185.34647163106584,0.9999999081860219
3.3 hpf:-/--4 hpf:+/-,-83.07800000000012,-197.45002692332525,31.294026923325006,0.43532242020955747
4 hpf:-/--4 hpf:+/-,-74.38142857142861,-177.28599120416885,28.52313406131161,0.44387728113198555
4.5 hpf:-/--4 hpf:+/-,-71.56300000000005,-164.94736893666882,21.821368936668733,0.34418485128416876
6 hpf:-/--4 hpf:+/-,-189.758,-304.13002692332515,-75.38597307667489,7.849561333261867e-6
