group_pair,diff,lwr,upr,p.adj
6 hpf:+/--4.5 hpf:+/-,-4.3003174603173875,-78.71076373881377,70.11012881817899,1
control:-/--4.5 hpf:+/-,37.143571428570226,-120.70482203535605,194.9919648924965,0.9999587913384428
3.3 hpf:-/--4.5 hpf:+/-,-69.5344285714286,-178.32392611872257,39.25506897586537,0.6518834029307596
4 hpf:-/--4.5 hpf:+/-,-60.837857142857104,-157.49986231902977,35.824148033315566,0.6756437156036614
4.5 hpf:-/--4.5 hpf:+/-,-58.019428571428534,-144.476554337572,28.437697194714914,0.5723468982144653
6 hpf:-/--4.5 hpf:+/-,-176.2144285714285,-285.00392611872246,-67.42493102413452,1.4482603544418993e-5
control:-/--6 hpf:+/-,41.443888888887614,-114.19672600556038,197.0845037833356,0.9998204373841275
3.3 hpf:-/--6 hpf:+/-,-65.23411111111122,-170.794712010178,40.32648978795555,0.7027856795669789
4 hpf:-/--6 hpf:+/-,-56.537539682539716,-149.55059753066018,36.475518165580766,0.7262465908645821
4.5 hpf:-/--6 hpf:+/-,-53.71911111111115,-136.0763832934881,28.6381610712658,0.6194915119375526
6 hpf:-/--6 hpf:+/-,-171.9141111111111,-277.4747120101779,-66.35351021204434,1.2636536774968121e-5
3.3 hpf:-/--control:-/-,-106.67799999999883,-281.3841569205537,68.02815692055606,0.7199024022989371
4 hpf:-/--control:-/-,-97.98142857142733,-265.4049326980442,69.44207555518955,0.7759108110961002
4.5 hpf:-/--control:-/-,-95.16299999999876,-256.9094716310659,66.58347163106836,0.7693158582775547
6 hpf:-/--control:-/-,-213.35799999999873,-388.0641569205536,-38.651843079443836,0.004049129945809304
4 hpf:-/--3.3 hpf:-/-,8.696571428571502,-113.57226839370495,130.96541125084795,0.9999999999948574
4.5 hpf:-/--3.3 hpf:-/-,11.515000000000072,-102.85702692332505,125.8870269233252,0.9999999993801927
6 hpf:-/--3.3 hpf:-/-,-106.6799999999999,-238.74544106388967,25.385441063889886,0.2612885218617085
4.5 hpf:-/--4 hpf:-/-,2.8184285714285693,-100.08613406131165,105.72299120416879,1
6 hpf:-/--4 hpf:-/-,-115.3765714285714,-237.64541125084784,6.892268393705052,0.0861100701483255
6 hpf:-/--4.5 hpf:-/-,-118.19499999999996,-232.5670269233251,-3.8229730766748418,0.035490722650125206
