comparison pair,diff,lwr,upr,p.adj,comparison pair letters,significant?
trailing:-/-:ethanol-trailing:+/?:control,0.4,-3.140168615,3.940168615,0.999999722,a - a,no
trailing:-/-:ethanol-leading:+/?:ethanol,0.5,-4.183202877,5.183202877,0.999999848,a - a,no
anterior-posterior:+/?:ethanol-leading:wthet:control,0.4,-3.354915851,4.154915851,0.999999851,a - a,no
leading:-/-:ethanol-anterior-posterior:+/?:control,-0.314285714,-3.591844975,2.963273546,0.999999952,a - a,no
trailing:-/-:control-leading:+/?:control,-0.35,-4.104915851,3.404915851,0.999999964,a - a,no
leading:-/-:ethanol-anterior-posterior:+/?:ethanol,0.285714286,-3.222703297,3.794131868,0.999999992,a - a,no
trailing:-/-:ethanol-trailing:mutant:control,-0.25,-4.004915851,3.504915851,0.999999999,a - a,no
trailing:-/-:control-leading:mutant:control,-0.25,-4.208028837,3.708028837,0.999999999,a - a,no
anterior-posterior:-/-:control-leading:mutant:control,0.25,-3.708028837,4.208028837,0.999999999,a - a,no
trailing:+/?:ethanol-trailing:-/-:control,0.25,-3.708028837,4.208028837,0.999999999,a - a,no
trailing:+/?:ethanol-anterior-posterior:-/-:control,-0.25,-4.208028837,3.708028837,0.999999999,a - a,no
anterior-posterior:+/?:ethanol-anterior-posterior:-/-:control,0.25,-3.708028837,4.208028837,0.999999999,a - a,no
anterior-posterior:-/-:control-leading:+/?:control,0.15,-3.604915851,3.904915851,1,a - a,no
leading:-/-:control-leading:+/?:control,-0.1,-3.854915851,3.654915851,1,a - a,no
trailing:+/?:ethanol-leading:wthet:control,-0.1,-3.854915851,3.654915851,1,a - a,no
leading:+/?:ethanol-trailing:wthet:control,-0.1,-4.783202877,4.583202877,1,a - a,no
trailing:+/?:ethanol-leading:-/-:control,-3.11E-15,-3.958028837,3.958028837,1,a - a,no
