kegg,entrez,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,name
dre03010,100000341,805.0941666966371,0.11055030410503211,0.1008486932857671,1.09619966806882,0.27299140486014134,0.8294045985148885,rps23,ribosomal protein S23
dre03010,100000836,4.021485607596396,0.5518489570524375,0.21493047106724777,2.5675696624690048,0.010241420904469441,0.15189998873075375,rps8b,ribosomal protein S8b
dre03010,100073334,19.8962746163592,0.07739275267774574,0.10929454885057852,0.7081117355958242,0.47887587236082896,0.9718601096804295,mrps21,mitochondrial ribosomal protein S21
dre03010,100093703,64.88951293935328,0.12735620393835165,0.07020555698806394,1.8140473404406467,0.06967043774012206,0.44449325425928915,mrpl36,mitochondrial ribosomal protein L36
dre03010,100536515,26.642320819006656,0.18894828549463352,0.09215473372224227,2.0503372736568317,0.04033152966239068,0.33452510816603526,mrpl33,mitochondrial ribosomal protein L33
dre03010,114420,1346.8036667703375,0.11403494010379935,0.10921724385434711,1.044111131900354,0.2964339761505029,0.8500635432329835,rps9,ribosomal protein S9
dre03010,192297,1066.3163504474533,0.05112610705207357,0.1004327318828499,0.5090582133293934,0.6107114206217669,0.9914324241520075,rps5,ribosomal protein S5
dre03010,192299,740.0418756304822,-0.044638616450561386,0.07863569456325369,-0.5676635362412241,0.5702634556945707,0.9914324241520075,rpl35,ribosomal protein L35
dre03010,192300,766.98977138419,-0.030867703307966145,0.06607923569347879,-0.4671316637370309,0.6404056814208245,0.9914324241520075,rps18,ribosomal protein S18
dre03010,192301,751.8422050455459,0.06861237746014073,0.09743513580658333,0.7041851678263361,0.4813174666192735,0.9736385856663626,rpl24,ribosomal protein L24
dre03010,195819,649.7877719334322,0.010381962648264598,0.09505049371558416,0.10922576245979464,0.913023427063779,0.9922116137685728,rpl36a,ribosomal protein L36A
dre03010,322571,2116.2155795228186,0.03447022562572518,0.12063791682470883,0.28573293151117357,0.7750826800473554,0.9914324241520075,rpl3,ribosomal protein L3
dre03010,323305,1192.1806631535046,0.013091674571136925,0.10713743135961863,0.12219515070501619,0.9027444668530378,0.9914324241520075,rpl10a,ribosomal protein L10a
dre03010,323365,690.7528773404485,-0.07928261310360722,0.08229771252742157,-0.9633635087632634,0.33536513231007037,0.885251093653343,rpl14,ribosomal protein L14
dre03010,325618,692.2133950875518,0.09640064154600897,0.09065727505005927,1.0633525163069188,0.287622117676868,0.8417858560010281,rpl27,ribosomal protein L27
dre03010,326961,843.6938823469254,0.0014617366293582076,0.06366884973942268,0.02295842684987483,0.9816834347680811,0.997965909203948,rpl5a,ribosomal protein L5a
dre03010,327089,1373.9831440449564,0.2450130420289183,0.1264456875310285,1.9376939365274484,0.05266057414163397,0.38485907691837967,rpl12,ribosomal protein L12
dre03010,335539,798.8396128031275,-0.05400114267552965,0.10363924206588292,-0.5210491856086849,0.6023325080144827,0.9914324241520075,rpl23a,ribosomal protein L23a
dre03010,335629,230.83317433787764,0.04799076838870785,0.13497460732162225,0.3555540508027095,0.7221745598500753,0.9914324241520075,rplp2,"ribosomal protein, large P2"
dre03010,336283,51.723868699870756,-0.05994746914663471,0.06590439526524536,-0.9096126124117243,0.3630268447421075,0.9060259754601262,mrpl3,mitochondrial ribosomal protein L3
dre03010,336550,1310.3355758080922,0.13957702626581098,0.10988480233759988,1.2702122886565101,0.20400902149352826,0.7397788565097333,rps3,ribosomal protein S3
dre03010,336568,652.6644687239182,0.03645790641736405,0.13526445928392655,0.26953056708589773,0.7875214231068075,0.9914324241520075,rpl21,ribosomal protein L21
dre03010,336641,921.2079957729461,0.006742044867669525,0.08879147317349222,0.07593121981990375,0.9394738187253671,0.9937613732694857,rpl17,ribosomal protein L17
dre03010,336662,246.76607022562226,0.14045729281134398,0.11131885118238416,1.261756578687823,0.20703639101841073,0.743866558909254,rps26,ribosomal protein S26
dre03010,336687,1095.1138170283198,0.15683515684640545,0.09280076390524478,1.6900201059394693,0.09102410816894298,0.5093397920813579,rps14,ribosomal protein S14
dre03010,336702,130.82635636875557,0.07842799843056791,0.05897773917744687,1.329789841462062,0.1835875238934731,0.7079096388739625,rpl9,ribosomal protein L9
dre03010,336702,881.9557636963618,0.09850377651101991,0.14634091403684085,0.6731116664080826,0.5008762523854505,0.9806157276329845,rpl9,ribosomal protein L9
dre03010,336710,1178.8068112173778,0.05926094127440845,0.08647117418261645,0.6853259694294963,0.49313824785736626,0.9769463886731492,rpl7,ribosomal protein L7
dre03010,336712,1149.785418334717,0.21190494748493946,0.13603495229750798,1.5577242753134801,0.1192986234082615,0.5819047135206901,rpl10,ribosomal protein L10
dre03010,336713,695.5373390074617,0.016132356854199125,0.0876176381760596,0.18412225198061874,0.8539175503432069,0.9914324241520075,rpl30,ribosomal protein L30
dre03010,336719,1159.4286409129452,0.0900022773860429,0.08786459911523449,1.0243292326185298,0.30567979498462244,0.8577054929634808,rplp1,"ribosomal protein, large, P1"
dre03010,336727,1463.8426494906673,-0.05167695501921885,0.09262212195313013,-0.5579331797793308,0.5768900135146892,0.9914324241520075,rpl6,ribosomal protein L6
dre03010,336764,578.7826501521565,-0.030419760905822737,0.06650520637570194,-0.4574042028224842,0.6473805440584685,0.9914324241520075,rps15a,ribosomal protein S15a
dre03010,336812,909.7342020455905,0.1640441129750194,0.10474039780775543,1.566197154187941,0.11730246875135668,0.5772344952102625,rpl23,ribosomal protein L23
dre03010,337007,820.4118885591345,0.08885210795226159,0.11173288736942276,0.7952189372721535,0.4264861578603276,0.9455037202953632,rps12,ribosomal protein S12
