kegg,entrez,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,name
dre03030,100005387,78.30544695207271,0.03684514379872996,0.11666420811508542,0.3158221736900098,0.7521374867035495,0.9914324241520075,rnaseh2c,"ribonuclease H2, subunit C"
dre03030,100147915,8.895226181754095,-0.09835489569559934,0.18204975292070677,-0.5402638241340465,0.589015102771855,0.9914324241520075,mcm3l,"MCM3 minichromosome maintenance deficient 3 (S. cerevisiae), like"
dre03030,192320,0,NA,NA,NA,NA,NA,pole2,"polymerase (DNA directed), epsilon 2"
dre03030,192323,1144.916940772209,0.043882977374271305,0.0787210117856885,0.5574493566436762,0.5772204512622042,0.9914324241520075,mcm3,minichromosome maintenance complex component 3
dre03030,192333,880.570385533923,0.22448366466359265,0.1590167974859046,1.411697809368165,0.15803895866071418,0.6621649411554288,mcm7,minichromosome maintenance complex component 7
dre03030,192338,783.6783168557686,0.0805665044697413,0.10009898798054001,0.8048683217996573,0.4208956704302079,0.9418443871702896,mcm2,minichromosome maintenance complex component 2
dre03030,259256,59.971447800920146,0.29677643849480334,0.10503792458849523,2.825421767018702,0.004721841705429354,0.09491978473322817,rfc3,replication factor C (activator 1) 3
dre03030,286747,690.259335470071,0.021737569524556584,0.088614453251476,0.24530501207143104,0.8062202712217472,0.9914324241520075,mcm5,minichromosome maintenance complex component 5
dre03030,30440,57.55127888200885,-0.10769943397426512,0.08871619389559701,-1.2139771697262844,0.22475644234835787,0.7689208325745055,prim1,DNA primase subunit 1
dre03030,30678,1618.9670200505152,0.36520958553344995,0.12952731272086918,2.8195565696670872,0.004809005364438446,0.09583034824583164,pcna,proliferating cell nuclear antigen
dre03030,317740,417.7082708855276,-0.1355449286044916,0.07819814503521856,-1.733352223936328,0.08303308376392224,0.4856014183331606,pola1,"polymerase (DNA directed), alpha 1"
dre03030,322059,85.75496143227738,0.04216511038182086,0.09918348024163205,0.42512231148874474,0.6707475139715458,0.9914324241520075,pola2,"polymerase (DNA directed), alpha 2"
dre03030,327491,397.2839375462088,-0.057568387232047276,0.05725665717657126,-1.0054444333785446,0.31468289331019866,0.8677158674842618,rpa1,replication protein A1
dre03030,337598,536.3771027472743,0.018364575948698548,0.07746509798687928,0.23706903400301724,0.812603234937153,0.9914324241520075,mcm4,minichromosome maintenance complex component 4
dre03030,386707,274.30360041145485,0.015018441682157178,0.075358795843165,0.1992924848933788,0.8420339574535587,0.9914324241520075,fen1,flap structure-specific endonuclease 1
dre03030,393195,87.80449503878313,0.22594669901137635,0.10008842425023047,2.257470838450692,0.023978669676005256,0.25060043065211335,rnaseh2a,"ribonuclease H2, subunit A"
dre03030,393196,50.20600111813686,0.03176201686030233,0.1000667454654298,0.3174083129472338,0.7509338002765251,0.9914324241520075,rpa3,replication protein A3
dre03030,393241,59.07524002461441,0.15705362347189217,0.09688880076802237,1.620967771578889,0.10502455072521326,0.5485990607934119,rnaseh2b,"ribonuclease H2, subunit B"
dre03030,393774,76.73947500101148,0.07505773001968113,0.10532732404208985,0.7126140410601082,0.4760846207441478,0.9715530391189557,pole3,"polymerase (DNA directed), epsilon 3 (p17 subunit)"
dre03030,406435,98.87550725199033,0.15083682904397405,0.0946569961892009,1.593509567348626,0.1110459237632233,0.561842960532522,rfc4,replication factor C (activator 1) 4
dre03030,407653,350.3616475003931,-0.14646389695215808,0.1185919750231977,-1.2350236761257107,0.21682169271867135,0.7575142881184375,prim2,DNA primase subunit 2
dre03030,436932,64.3326323056221,0.07678788565252279,0.08309444295554815,0.9241037417339799,0.35543230536691467,0.8987419317429971,rnaseh1,ribonuclease H1
dre03030,445385,114.96827249095593,0.05718952370436079,0.0547326973442245,1.0448877267035614,0.2960748628832886,0.8498885627492383,rfc5,replication factor C (activator 1) 5
dre03030,503748,117.13812653676362,-0.1280448543627889,0.0845740360103944,-1.513997207689743,0.13002654769790814,0.6074454822355027,rfc2,replication factor C (activator 1) 2
dre03030,550274,63.06596186724076,-0.10029392688181755,0.07313221602461228,-1.3714055492050745,0.17024856856734058,0.685290024755807,zgc:110269,zgc:110269
dre03030,550504,50.85648497540427,-0.037264486265083926,0.1088183397569045,-0.34244674517485924,0.732014715000463,0.9914324241520075,ssbp1,single-stranded DNA binding protein 1
dre03030,553405,291.79661363496103,0.0704096638020232,0.061002461290905176,1.1542102123758167,0.24841399672113815,0.8022664027917681,pole,"polymerase (DNA directed), epsilon"
dre03030,553610,48.11768180972064,0.1434921543612028,0.09977614660328499,1.4381408708008625,0.15039408816641756,0.6491827620378063,pole4,"polymerase (DNA-directed), epsilon 4, accessory subunit"
dre03030,556456,117.60698958225268,0.007207935327828973,0.06372981174129205,0.11310146901248071,0.909950110363467,0.9919260621398991,pold1,"polymerase (DNA directed), delta 1, catalytic subunit"
dre03030,556995,661.1237269412518,-0.16746774612644896,0.05428758442968425,-3.0848258931719608,0.002036713413856025,0.05360529885195994,lig1,"ligase I, DNA, ATP-dependent"
dre03030,559535,169.85249802598003,-0.05132070764545609,0.04754194782770536,-1.0794826461769125,0.2803726258187144,0.8367019593599043,dna2,DNA replication helicase/nuclease 2
dre03030,564982,15.875960841890183,0.0018388601419884523,0.13011112355600857,0.014132997177577085,0.9887238751406112,0.9984248814726868,mcm6l,"MCM6 minichromosome maintenance deficient 6, like"
dre03030,566409,857.1148115036548,-0.0902824666523599,0.06478034451655602,-1.3936706778286159,0.16341707470468309,0.6741648413544504,mcm6,minichromosome maintenance complex component 6
