baseMean log2FoldChange lfcSE stat pvalue padj
ENSDARG00000104825 113.652096841069 0.935093041895566 0.0773186694070424 12.0940136330178 1.13598424268878e-33 3.1722359977084e-29
ENSDARG00000033134 43.9188476451505 1.04550440519222 0.0916806343839134 11.4037649523035 4.0041977308014e-30 5.59086108163146e-26
ENSDARG00000040712 26.4705561209186 1.33057008464745 0.117305023807118 11.3428226811093 8.05051576580065e-30 7.49368842533278e-26
ENSDARG00000013926 24.3062263434121 2.13886211478029 0.1950026397681 10.9683751836583 5.42382815842228e-28 3.78651003309855e-24
ENSDARG00000039943 161.032391659836 1.77587093519661 0.166517053961809 10.6647991478633 1.48720026196537e-26 8.3060134630766e-23
ENSDARG00000000551 33.8016835858639 1.19886013909853 0.114635193121122 10.4580461414831 1.34602620488556e-25 6.26463029523823e-22
ENSDARG00000042637 273.012311183951 0.557410199018551 0.0546998733058654 10.1903380269581 2.19001393644336e-24 8.7365913107401e-21
ENSDARG00000053129 256.027102667279 0.79381153225562 0.0798974310506661 9.93538242490217 2.92053129844333e-23 1.01944795636287e-19
ENSDARG00000102906 57.3018418620693 1.18339487235986 0.122958320356582 9.62435782245552 6.30998245189379e-22 1.95784733299038e-18
ENSDARG00000011122 48.3950622277257 0.79794906516366 0.0914323712352081 8.72720519421891 2.61043203532572e-18 7.28963145864708e-15
ENSDARG00000006031 120.814026899331 0.981516309630011 0.115753591779661 8.47935942668924 2.26437149597887e-17 5.74841582047362e-14
ENSDARG00000093019 76.5029731740227 1.40530961296536 0.168484327203067 8.34089221409658 7.37320802239232e-17 1.71580695021088e-13
ENSDARG00000104687 236.33393552081 1.05537899759384 0.127457761707966 8.28022541312118 1.22942339786895e-16 2.6408960296531e-13
ENSDARG00000018491 61.1145221091147 0.585018081339618 0.0710223509500894 8.23709823053783 1.76437617287768e-16 3.51930033054351e-13
ENSDARG00000052155 50.9400042710691 0.827121249206514 0.101152557754734 8.17696821084883 2.91074762953426e-16 5.41884183698295e-13
ENSDARG00000098608 29.8858020434683 0.83909931669328 0.103874604918334 8.07800248533294 6.5836265308095e-16 1.14904856795535e-12
ENSDARG00000063229 826.526617524572 0.487660123304902 0.0615322969701781 7.92527091165227 2.2764947303936e-15 3.73947737330831e-12
ENSDARG00000067950 62.4548442756358 0.895247154170329 0.113225079511224 7.90679201140754 2.64106332445408e-15 4.09731629641001e-12
ENSDARG00000075536 130.676257883672 0.403696840866922 0.0512247946866705 7.88088743617688 3.25064047964734e-15 4.77758607337641e-12
ENSDARG00000044169 19.9659013279397 0.880133337728927 0.111916584340425 7.86419048540437 3.71491894803453e-15 5.18695558119322e-12
ENSDARG00000071235 16.5786220028628 1.54297428434296 0.198938722268294 7.75602792030636 8.76307399101338e-15 1.16528019618595e-11
ENSDARG00000060246 55.8142427541266 0.908704539573599 0.118451343116529 7.6715427251816 1.6993985209941e-14 2.15707744085274e-11
ENSDARG00000003244 56.6469547106462 0.642777488409375 0.0857722253348295 7.49400503368265 6.68031602883921e-14 8.11077500457978e-11
ENSDARG00000061226 16.3129324108153 1.00962954873703 0.135983486230871 7.42464821811449 1.1308005083226e-13 1.31573350812119e-10
ENSDARG00000056059 242.09163685031 -0.241659280195074 0.0326473704126231 -7.40210550316286 1.34041933793858e-13 1.4972484004774e-10
ENSDARG00000044016 108.257135219231 0.374525502696226 0.0507514202260423 7.37960634457366 1.58758230455445e-13 1.66893625684856e-10
ENSDARG00000055543 61.8884375917734 0.586337185399796 0.0794770818942386 7.37743726147425 1.61365367716781e-13 1.66893625684856e-10
ENSDARG00000062821 11.0012139820738 1.1487388435043 0.15760525368553 7.28870907943454 3.12938963368761e-13 3.12100734002594e-10
ENSDARG00000103840 15.0608082956065 1.23138009699149 0.169061744662584 7.28361167364682 3.24999653091163e-13 3.12952252157612e-10
ENSDARG00000041060 85.6219379332799 1.55332676715586 0.21498079803037 7.22542097427893 4.99551902599961e-13 4.64999562670131e-10
ENSDARG00000036028 120.107918480194 0.665442404857895 0.0926177267681846 7.18482765748989 6.7292015611634e-13 6.06170818049961e-10
ENSDARG00000038467 133.086330455982 0.393307611195386 0.0551063918096992 7.13724122155573 9.52226579202473e-13 8.30966475757158e-10
ENSDARG00000002285 173.516937341335 0.689605791785075 0.0975842076298616 7.06677656697035 1.58573961851883e-12 1.34187208627692e-09
ENSDARG00000020645 353.295366731268 0.539188375420351 0.0769360168173547 7.00826995892416 2.41282923785929e-12 1.98171342550649e-09
ENSDARG00000021433 20.4191585692448 0.733334673571689 0.104800358323653 6.9974443341782 2.60673576275868e-12 2.07980274785818e-09
ENSDARG00000006527 897.259623987684 -0.19427596805121 0.0278673632550754 -6.97145138106409 3.1368773038909e-12 2.43325829753204e-09
ENSDARG00000036967 50.4216590120042 0.804637754334141 0.115905687844076 6.94217660324483 3.8610410090557e-12 2.91404243724001e-09
ENSDARG00000063218 88.7006925068127 0.516427232498693 0.0746950637149664 6.91380670708523 4.71817964341737e-12 3.46724122480079e-09
ENSDARG00000024746 29.3931047480147 -1.02338093018319 0.148815721143442 -6.87683345764769 6.11975832724083e-12 4.38190387918462e-09
ENSDARG00000052480 895.909479624123 -0.196291037554057 0.0286644698188524 -6.84788655762817 7.49489594232964e-12 5.23237422973888e-09
ENSDARG00000018048 8.68465651969904 1.6089158550929 0.235781070423349 6.82377025519506 8.8681668447666e-12 6.0400868082953e-09
ENSDARG00000086786 32.7863607911518 0.617941607241216 0.0907999790685706 6.80552587764979 1.00680778772618e-11 6.69407320767945e-09
ENSDARG00000038785 610.507120628191 -0.279620506953982 0.0411160981845642 -6.80075491839733 1.04072339720704e-11 6.75865136442011e-09
ENSDARG00000045123 54.2465198553206 0.530640733499742 0.0781700739388603 6.78828491213627 1.1347439222507e-11 7.20175546110247e-09
ENSDARG00000016375 117.663989814167 0.550221713878945 0.0819159017369091 6.71690968679199 1.85618931323874e-11 1.15186859049315e-08
ENSDARG00000038000 80.1853445893209 0.663151959445932 0.100609033665341 6.59137589624204 4.35769005407759e-11 2.64540206000254e-08
ENSDARG00000043465 11.4472530737038 1.05447322061341 0.16012413030342 6.58534862056885 4.53819268401151e-11 2.69636235534088e-08
ENSDARG00000027572 9.28500044105052 1.19474352060627 0.181939394702179 6.56671152809962 5.14385585623442e-11 2.95883551571287e-08
ENSDARG00000052894 57.2569838806814 0.648645980153601 0.0987987268476399 6.56532731594705 5.19186894431265e-11 2.95883551571287e-08
ENSDARG00000005840 58.4191293343681 0.711353026394613 0.108578705816294 6.5514966405859 5.69632697118813e-11 3.18139861340857e-08
ENSDARG00000036685 124.162127826056 -0.327407967472767 0.0503200702688484 -6.50650855063403 7.69175265785574e-11 4.21161162687493e-08
ENSDARG00000055300 94.7979261289039 -0.394184276960083 0.0606645546307309 -6.49776923871787 8.15197162003173e-11 4.37776552864204e-08
ENSDARG00000098733 74.0385830205264 0.592653539303615 0.0915605862161099 6.47280193144218 9.62020262573627e-11 5.06875770422048e-08
ENSDARG00000032083 41.0705788320956 0.588246394585741 0.0914986056085749 6.42902031865077 1.28428961527158e-10 6.6414421308257e-08
ENSDARG00000004754 195.204601099839 -0.375370420697481 0.0590484341838093 -6.35699194882978 2.05742771930479e-10 1.04461216475611e-07
ENSDARG00000019062 23.9856573689011 0.943350858084598 0.148735854571797 6.34245764614359 2.26128388770614e-10 1.12761343864632e-07
ENSDARG00000001447 66.9692088801732 0.422271030184633 0.0670188200818572 6.30078281994324 2.96146106524531e-10 1.45085614468378e-07
ENSDARG00000005454 273.234998199566 -0.275506376972921 0.0438593329298558 -6.28159068022167 3.35126232874876e-10 1.61351725052257e-07
ENSDARG00000035859 47.7631122018884 -0.561378164929281 0.0895707300210306 -6.26742871022122 3.67058574773203e-10 1.7373068983969e-07
ENSDARG00000091511 12.1596829694569 1.19525818547784 0.192362074049283 6.21358545537209 5.17890462965169e-10 2.41034852971706e-07
ENSDARG00000019963 52.8112051951663 0.716850411552506 0.115452438245053 6.20905389655746 5.33045403245171e-10 2.44021194846253e-07
ENSDARG00000013379 457.003166608087 -0.199796837606969 0.0323609888632982 -6.17400285420715 6.65823379248755e-10 2.99888997830992e-07
ENSDARG00000078041 1366.29868562605 0.371155527330382 0.060280232079346 6.15716818810246 7.40571893634227e-10 3.28261430630727e-07
ENSDARG00000098855 14.3593654514936 0.783254381505147 0.127931394221646 6.12245638586668 9.21436434164317e-10 4.02048631625602e-07
ENSDARG00000071212 195.164192181338 0.410123496638654 0.0671663535846109 6.10608548403648 1.02104335955988e-09 4.38655935626303e-07
ENSDARG00000087697 38.6900420369231 0.790172700362604 0.13009840348398 6.07365408953619 1.25031907899978e-09 5.29017580016195e-07
ENSDARG00000012649 27.8795166843582 0.761325866988477 0.125462490641163 6.06815521593583 1.29387829408288e-09 5.39276886003947e-07
ENSDARG00000041078 12.4674610214335 0.783904314977861 0.129842367879589 6.03735381431759 1.56661975035345e-09 6.43350831303236e-07
ENSDARG00000035569 18.5675500893891 0.675395556364944 0.112304042073279 6.01399151710182 1.81009986238519e-09 7.32565777639224e-07
ENSDARG00000105727 16.1756104866842 0.829081040425022 0.138024021661315 6.00678802461961 1.89234660642015e-09 7.54911128346894e-07
ENSDARG00000030357 16.8179219304981 0.911380264882411 0.15217404268212 5.98906520993345 2.11050537438877e-09 8.30082571546568e-07
ENSDARG00000058871 13.325904155448 1.0401375422655 0.173810173863059 5.98433060129726 2.17281588923384e-09 8.42720607039653e-07
ENSDARG00000035910 595.412173263727 -0.224616817586719 0.0376559898898484 -5.9649691388746 2.44680282787773e-09 9.35985876280623e-07
ENSDARG00000045132 377.299857410055 0.673401771896976 0.113108125550529 5.95361092423148 2.62289937300186e-09 9.89790067446985e-07
ENSDARG00000031317 73.7680785973545 0.844042093846997 0.141938090185499 5.94655101209207 2.73851218421641e-09 1.01963936992324e-06
ENSDARG00000037708 351.915859083241 -0.225079414763936 0.0382031312565591 -5.89164833773388 3.8236220457432e-09 1.40492954772867e-06
ENSDARG00000095332 69.9263559438324 -0.484745685984114 0.0825300019703752 -5.87356930099332 4.26510610406152e-09 1.54679335007686e-06
ENSDARG00000070084 166.059325977769 -0.285963895773423 0.0490824076171506 -5.82619944001077 5.67038470711759e-09 2.03007042238793e-06
ENSDARG00000016253 60.6958302661705 0.550261859497651 0.0945653496009899 5.81885290774508 5.9252847173733e-09 2.09447564218544e-06
ENSDARG00000030972 154.557853025765 -0.378868155448062 0.0651384865901344 -5.81634875602781 6.0146912174877e-09 2.0995031531043e-06
ENSDARG00000014101 44.6472083631477 0.480505385060304 0.0827170437886776 5.8090251180625 6.28376624060423e-09 2.16634780578856e-06
ENSDARG00000040732 43.5991529689706 0.82754017829945 0.142702065069833 5.799076403656 6.6681148595549e-09 2.27081838357403e-06
ENSDARG00000099009 14.8138442802002 0.75645815746555 0.132006969840821 5.73044103942174 1.00169841960608e-08 3.37017209246984e-06
ENSDARG00000045199 28.8850073873589 0.52193835051616 0.0915266964306375 5.70258045871573 1.18007178857799e-08 3.92303627333815e-06
ENSDARG00000055868 401.567068298184 -0.259087825946744 0.0454543210960897 -5.69996030518278 1.19835328338556e-08 3.93694299276963e-06
ENSDARG00000025983 23.6781746666029 0.765097035896887 0.13439932761544 5.69271475885712 1.25035176515431e-08 4.06000849324815e-06
ENSDARG00000043928 51.5271659236157 0.354957241472454 0.063129989459861 5.6226405945805 1.88060399162715e-08 6.03630649036646e-06
ENSDARG00000044688 72.2178476903621 0.498640236610876 0.089037723567318 5.60032553206364 2.13949643608817e-08 6.78925431565479e-06
ENSDARG00000042187 535.143973072967 -0.198055348579132 0.0354539333484881 -5.5862729427616 2.31994523168088e-08 7.2791539994032e-06
ENSDARG00000097289 4.29526904961894 1.17551475139941 0.210514699578594 5.58400317769989 2.35044407094132e-08 7.29290563122628e-06
ENSDARG00000004726 102.566375134904 -0.261686829958644 0.0469029999296332 -5.57931966721197 2.41461130884148e-08 7.40967261531851e-06
ENSDARG00000029581 81.2182090090831 0.468073476538896 0.0840402311378802 5.56963575898493 2.55272422425405e-08 7.74835043068416e-06
ENSDARG00000074560 29.1042962056389 0.875488613128439 0.157294199344686 5.56593070040645 2.60756865105321e-08 7.82971554630761e-06
ENSDARG00000090552 51.8279743687952 0.694434798774718 0.124946192317487 5.55787083939435 2.7308533911221e-08 8.11266818586007e-06
ENSDARG00000039020 200.751914338598 -0.288978869575355 0.0521052733718954 -5.54605802588927 2.92181895017127e-08 8.58860991405606e-06
ENSDARG00000062865 14.8749907912928 0.652799855072493 0.118516337557907 5.50810013643509 3.62727066203548e-08 1.05512013788897e-05
ENSDARG00000024540 38.651969214729 0.708558643991882 0.128773024075701 5.50238412957783 3.74689475621393e-08 1.0786807841987e-05
ENSDARG00000069090 36.3099714309072 0.518329770076785 0.0943641415359609 5.49286796488533 3.95458452669879e-08 1.12685482559249e-05
ENSDARG00000001889 220.792441451843 1.0098878937133 0.183963369894211 5.48961401551861 4.02813029388706e-08 1.13370668465459e-05
ENSDARG00000074548 90.5987268497945 -0.391395153529125 0.0713153783906458 -5.48822936036561 4.05982698175322e-08 1.13370668465459e-05
ENSDARG00000104491 62.2643876264531 0.422070231408216 0.0770948816031756 5.47468551259608 4.38289276847247e-08 1.21180475801578e-05
ENSDARG00000007377 1769.86971410745 0.801342944740872 0.146540696997739 5.46839861661934 4.54119692579319e-08 1.2432639622821e-05
ENSDARG00000090062 15.4921886858468 0.740385771452167 0.135463028599351 5.46559293046628 4.61362004680135e-08 1.25082854181483e-05
ENSDARG00000100555 15.4011203700546 0.662591727215534 0.121576697559835 5.44998951702429 5.03727891836104e-08 1.35255782495416e-05
ENSDARG00000061370 39.2890562141445 0.482760184265193 0.0886989927665989 5.44267943983897 5.24850465765702e-08 1.39585231014354e-05
ENSDARG00000101135 341.739571351947 0.603823929936557 0.111046381630382 5.43758311681319 5.40081580916975e-08 1.42280925916099e-05
ENSDARG00000055436 11.3018620535512 0.711933830953226 0.131411726371118 5.4175822098453 6.04103751252397e-08 1.57659787417974e-05
ENSDARG00000053570 19.8653455541443 0.589528146177048 0.109851432547123 5.36659497748616 8.02369573603891e-08 2.07464540211932e-05
ENSDARG00000098540 41.4333973114762 0.506541576960644 0.0945226628818569 5.35894315201176 8.3710187887051e-08 2.14264699547933e-05
ENSDARG00000002230 14.1349823510448 0.773814257692392 0.14443686104661 5.35745689905764 8.44014931075115e-08 2.14264699547933e-05
ENSDARG00000042029 374.716093974609 -0.233262709671183 0.0439948052865655 -5.30205118881191 1.14508720760938e-07 2.88077119571999e-05
ENSDARG00000004232 35.1734666780691 -0.506544858269151 0.095622919222898 -5.29731640056282 1.17516967258446e-07 2.93005474168939e-05
ENSDARG00000093760 61.5186849003109 0.532022917530545 0.100491308987646 5.29421820543656 1.19526644399548e-07 2.9537889777499e-05
ENSDARG00000104251 81.9641286947022 -0.403023742140108 0.0762056616311038 -5.28863254401051 1.23234174485594e-07 3.01869677413178e-05
ENSDARG00000040487 18.5210272531514 0.751844773223778 0.142781158090758 5.26571421101566 1.39645381270836e-07 3.39095414955487e-05
ENSDARG00000102874 110.380650082147 0.28513373720339 0.0543388276698917 5.24732956948533 1.54319695646895e-07 3.68384850874665e-05
ENSDARG00000006314 197.520930417162 0.254730618833153 0.0485501737237158 5.24674989388805 1.54805825237581e-07 3.68384850874665e-05
ENSDARG00000099519 89.0839435174962 0.414761042938975 0.0790664131100939 5.24572984437087 1.55664860888847e-07 3.68384850874665e-05
ENSDARG00000054858 36.1096451173314 0.476867699587391 0.0911793545892124 5.22999643653773 1.69513307167837e-07 3.97786479215281e-05
ENSDARG00000092659 322.776931689761 0.18807387823126 0.0360370496060795 5.21890333107435 1.79985668328465e-07 4.18841649006031e-05
ENSDARG00000102123 121.529016757511 0.673167264687737 0.129038253865176 5.21680388972938 1.82036811238979e-07 4.20113880483346e-05
ENSDARG00000041237 39.2565377777812 0.569844320858784 0.109595522746087 5.19952190181172 1.99801784319941e-07 4.57333182551996e-05
ENSDARG00000074341 3.41756464864331 1.38886571155389 0.267229552085859 5.19727590273272 2.02230104046895e-07 4.59128102073946e-05
ENSDARG00000025147 105.432816451458 0.358609417596145 0.0690743393038269 5.19164455585719 2.08444656086696e-07 4.69420727517821e-05
ENSDARG00000079062 39.678105982242 0.551355858388465 0.106327276835748 5.18546016409495 2.15482144711995e-07 4.78849045016505e-05
ENSDARG00000026225 708.309696328217 -0.212617615364889 0.0410066037599525 -5.18496036905485 2.16060804555343e-07 4.78849045016505e-05
ENSDARG00000003061 111.622656243691 0.355221451703937 0.0686243800618296 5.1763156386096 2.26310464575378e-07 4.97615726241529e-05
ENSDARG00000039914 12.9080117440953 0.943150560939833 0.182384030432061 5.17123433836584 2.32552712072255e-07 5.07346444110759e-05
ENSDARG00000055022 852.589906424576 -0.158504918751776 0.0307763868467927 -5.1502120616311 2.6019210005959e-07 5.63245301873181e-05
ENSDARG00000077143 65.162786890031 -0.316437938800418 0.0615041258224706 -5.14498717880821 2.67539082337753e-07 5.73519898581489e-05
ENSDARG00000005842 13.0586351196919 0.705875424095496 0.137224857694538 5.14393263694813 2.69046040158192e-07 5.73519898581489e-05
ENSDARG00000010571 463.216088054784 -0.202616273986505 0.0394131659442306 -5.14082716098488 2.73531589220032e-07 5.74927746881814e-05
ENSDARG00000090337 843.825064340617 -0.235845002063732 0.0458786511128873 -5.14062633366051 2.73824137279432e-07 5.74927746881814e-05
ENSDARG00000061409 6.43640147034263 0.892684614578233 0.173739893687645 5.13805203647199 2.7760102060774e-07 5.78508097050085e-05
ENSDARG00000020448 100.158647532885 0.513312593671793 0.0999536127078229 5.13550815989283 2.81382670113946e-07 5.82045263920884e-05
ENSDARG00000039650 93.6499723581598 0.31949990797351 0.0622399771226764 5.13335516405748 2.84622076640232e-07 5.84417021336652e-05
ENSDARG00000003035 744.377252294499 0.203258416993005 0.0397371012582886 5.11507912144469 3.13609471717463e-07 6.39236824650376e-05
ENSDARG00000031382 63.5138617359174 0.330196367574956 0.0646217547940205 5.1096781359071 3.22708099230348e-07 6.5301620804402e-05
ENSDARG00000074765 17.6811568995551 0.627766415958357 0.12310937196002 5.09925772476707 3.40988008989591e-07 6.85042456908945e-05
ENSDARG00000045465 61.345700664427 0.472749641506178 0.0928687844129221 5.0905117849308 3.57098376176101e-07 7.12283725336974e-05
ENSDARG00000013302 44.803668135858 0.499238212797438 0.0984080941934418 5.07314176632748 3.91300756172013e-07 7.74969760007338e-05
ENSDARG00000019541 90.7537416098296 0.380796067484815 0.0753819616119716 5.05155423581256 4.38229462652878e-07 8.61718203964732e-05
ENSDARG00000041361 200.203440787524 -0.248390118273376 0.0491842195844985 -5.05019944144161 4.41349023842139e-07 8.61718203964732e-05
ENSDARG00000058094 10.8541359828119 -0.966999310900221 0.191526704026652 -5.04890070454958 4.44359610997033e-07 8.61718203964732e-05
ENSDARG00000016775 370.641512839796 -0.202356329756022 0.0401433326081506 -5.04084530627474 4.63480013366305e-07 8.92598577465797e-05
ENSDARG00000100531 18.8445160532995 0.672374937048089 0.133686581859711 5.02948708609865 4.91793620935731e-07 9.40639511276048e-05
ENSDARG00000086985 53.071723228457 0.408870397830589 0.0814603802925534 5.01925471452734 5.18723323877939e-07 9.85397878863364e-05
ENSDARG00000100019 402.445747401966 -0.206217853166447 0.0411118019539653 -5.01602565115871 5.27512889762946e-07 9.95324151799342e-05
ENSDARG00000055086 196.761000925027 -0.204281998150641 0.0409704620933998 -4.9860799149627 6.1616666564543e-07 0.000115479557974152
