gene,stat
ENSDARG00000104825,12.0940136329774
ENSDARG00000033134,11.4037649522539
ENSDARG00000040712,11.3428226810649
ENSDARG00000013926,10.9683751836724
ENSDARG00000039943,10.6647991478765
ENSDARG00000000551,10.4580461414605
ENSDARG00000042637,10.1903380269098
ENSDARG00000053129,9.93538242488038
ENSDARG00000102906,9.62435782244459
ENSDARG00000011122,8.7272051941815
ENSDARG00000006031,8.47935942668559
ENSDARG00000093019,8.34089221410604
ENSDARG00000104687,8.28022541312309
ENSDARG00000018491,8.23709823046508
ENSDARG00000052155,8.17696821082578
ENSDARG00000098608,8.07800248529683
ENSDARG00000063229,7.92527091162937
ENSDARG00000067950,7.90679201139856
ENSDARG00000075536,7.88088743611563
ENSDARG00000044169,7.86419048534121
ENSDARG00000071235,7.75602792031332
ENSDARG00000060246,7.67154272517346
ENSDARG00000003244,7.49400503364162
ENSDARG00000061226,7.42464821808478
ENSDARG00000056059,-7.40210550307574
ENSDARG00000044016,7.37960634450563
ENSDARG00000055543,7.37743726143078
ENSDARG00000062821,7.28870907940369
ENSDARG00000103840,7.2836116736396
ENSDARG00000041060,7.22542097429478
ENSDARG00000036028,7.18482765748682
ENSDARG00000038467,7.13724122150807
ENSDARG00000002285,7.06677656696201
ENSDARG00000020645,7.00826995890958
ENSDARG00000021433,6.9974443341344
ENSDARG00000006527,-6.97145138099864
ENSDARG00000036967,6.94217660323572
ENSDARG00000063218,6.91380670706063
ENSDARG00000024746,-6.87683345764281
ENSDARG00000052480,-6.84788655757311
ENSDARG00000018048,6.8237702551975
ENSDARG00000086786,6.80552587761234
ENSDARG00000038785,-6.80075491835854
ENSDARG00000045123,6.78828491208194
ENSDARG00000016375,6.71690968677466
ENSDARG00000038000,6.59137589623177
ENSDARG00000043465,6.5853486205505
ENSDARG00000027572,6.56671152808159
ENSDARG00000052894,6.56532731593147
ENSDARG00000005840,6.55149664057756
ENSDARG00000036685,-6.50650855058957
ENSDARG00000055300,-6.49776923866345
ENSDARG00000098733,6.47280193141459
ENSDARG00000032083,6.42902031862089
ENSDARG00000004754,-6.35699194879748
ENSDARG00000019062,6.3424576461401
ENSDARG00000001447,6.30078281989759
ENSDARG00000005454,-6.28159068017691
ENSDARG00000035859,-6.26742871019708
ENSDARG00000091511,6.21358545536905
ENSDARG00000019963,6.20905389654673
ENSDARG00000013379,-6.17400285414935
ENSDARG00000078041,6.15716818808462
ENSDARG00000098855,6.12245638582319
ENSDARG00000071212,6.10608548401345
ENSDARG00000087697,6.07365408953087
ENSDARG00000012649,6.0681552159228
ENSDARG00000041078,6.03735381427241
ENSDARG00000035569,6.01399151706032
ENSDARG00000105727,6.00678802459937
ENSDARG00000030357,5.98906520992481
ENSDARG00000058871,5.98433060129346
ENSDARG00000035910,-5.96496913883387
ENSDARG00000045132,5.95361092423034
ENSDARG00000031317,5.94655101209418
ENSDARG00000037708,-5.89164833768917
ENSDARG00000095332,-5.87356930096328
ENSDARG00000070084,-5.82619943997966
ENSDARG00000016253,5.81885290772963
ENSDARG00000030972,-5.81634875599903
ENSDARG00000014101,5.80902511801577
ENSDARG00000040732,5.79907640365571
ENSDARG00000099009,5.73044103939016
ENSDARG00000045199,5.70258045867456
ENSDARG00000055868,-5.69996030514943
ENSDARG00000025983,5.69271475884497
ENSDARG00000043928,5.62264059451297
ENSDARG00000044688,5.60032553204857
ENSDARG00000042187,-5.5862729427156
ENSDARG00000097289,5.58400317766893
ENSDARG00000004726,-5.579319667125
ENSDARG00000029581,5.56963575896692
ENSDARG00000074560,5.56593070040737
ENSDARG00000090552,5.55787083939084
ENSDARG00000039020,-5.54605802585472
ENSDARG00000062865,5.50810013639109
ENSDARG00000024540,5.50238412957374
ENSDARG00000069090,5.49286796486272
ENSDARG00000001889,5.48961401552698
ENSDARG00000074548,-5.48822936034025
ENSDARG00000104491,5.47468551256416
ENSDARG00000007377,5.46839861662409
ENSDARG00000090062,5.46559293044811
ENSDARG00000100555,5.44998951699635
ENSDARG00000061370,5.44267943981436
ENSDARG00000101135,5.43758311681109
ENSDARG00000055436,5.41758220979914
ENSDARG00000053570,5.36659497745484
ENSDARG00000098540,5.35894315199215
ENSDARG00000002230,5.3574568990423
ENSDARG00000042029,-5.30205118877593
ENSDARG00000004232,-5.29731640050927
ENSDARG00000093760,5.29421820542758
ENSDARG00000104251,-5.28863254398687
ENSDARG00000040487,5.26571421100543
ENSDARG00000102874,5.24732956944068
ENSDARG00000006314,5.24674989385276
ENSDARG00000099519,5.24572984434957
ENSDARG00000054858,5.22999643650419
ENSDARG00000092659,5.21890333102333
ENSDARG00000102123,5.21680388972987
ENSDARG00000041237,5.19952190180127
ENSDARG00000074341,5.19727590270996
ENSDARG00000025147,5.19164455583545
ENSDARG00000079062,5.18546016407826
ENSDARG00000026225,-5.18496036902499
ENSDARG00000003061,5.17631563857669
ENSDARG00000039914,5.1712343383614
ENSDARG00000055022,-5.15021206158761
ENSDARG00000077143,-5.1449871787628
ENSDARG00000005842,5.14393263692168
ENSDARG00000010571,-5.14082716094804
ENSDARG00000090337,-5.14062633363555
ENSDARG00000061409,5.13805203644727
ENSDARG00000020448,5.13550815988574
ENSDARG00000039650,5.13335516402436
ENSDARG00000003035,5.11507912141423
ENSDARG00000031382,5.10967813586316
ENSDARG00000074765,5.0992577247385
ENSDARG00000045465,5.09051178491811
ENSDARG00000013302,5.07314176631406
ENSDARG00000019541,5.05155423579042
ENSDARG00000041361,-5.05019944140377
ENSDARG00000058094,-5.04890070454018
ENSDARG00000016775,-5.04084530623154
ENSDARG00000100531,5.02948708608774
ENSDARG00000086985,5.01925471450468
ENSDARG00000100019,-5.01602565112177
ENSDARG00000055086,-4.98607991491944
ENSDARG00000004114,4.9823063588137
ENSDARG00000063371,4.97117710075339
ENSDARG00000029856,4.95546486504043
ENSDARG00000010791,-4.93754032530899
ENSDARG00000056122,4.93370684375569
ENSDARG00000052455,4.93263623219815
ENSDARG00000025948,4.9240387739015
ENSDARG00000042747,4.92356965851826
ENSDARG00000044575,4.90469030024322
ENSDARG00000098845,-4.8955396266357
ENSDARG00000040100,4.89089916101529
ENSDARG00000103618,4.89059195395612
ENSDARG00000076223,4.8899196437004
ENSDARG00000098000,4.88920472025942
ENSDARG00000029370,4.88110922701308
ENSDARG00000060069,4.87268922692143
ENSDARG00000087205,4.87193458594115
ENSDARG00000003399,-4.85776564296759
ENSDARG00000102808,4.85650733692993
ENSDARG00000079631,-4.84374414613074
ENSDARG00000037059,4.84251311564602
ENSDARG00000030092,4.83907372314193
ENSDARG00000019856,4.83137257094063
ENSDARG00000043482,-4.83007496295989
ENSDARG00000079382,4.82306974991452
ENSDARG00000057648,-4.79768429560364
ENSDARG00000056873,4.79689622492294
ENSDARG00000086450,-4.79498583770881
ENSDARG00000015749,4.79359933974845
ENSDARG00000078778,4.77446644906255
ENSDARG00000041607,4.76744046513696
ENSDARG00000060002,-4.76210852862884
ENSDARG00000017988,4.76161065622432
ENSDARG00000104936,4.7583095161676
ENSDARG00000071413,4.74135727051159
ENSDARG00000097406,4.74123860741893
ENSDARG00000027065,4.73525627214857
ENSDARG00000016074,4.73327297436898
ENSDARG00000104734,4.73239638217851
ENSDARG00000056713,4.72617458439238
ENSDARG00000037560,-4.71312991819045
ENSDARG00000016484,-4.70934744117885
ENSDARG00000036956,-4.6927566800634
ENSDARG00000010144,4.68510959778822
ENSDARG00000099705,4.68206653145565
ENSDARG00000100114,-4.67566006506986
ENSDARG00000026842,-4.6736979969647
ENSDARG00000077547,4.66392828057422
ENSDARG00000043004,-4.65872167425423
ENSDARG00000076807,4.65124614940165
ENSDARG00000091512,-4.65063538070058
ENSDARG00000017315,4.64002512808911
ENSDARG00000086100,4.62920590456726
ENSDARG00000045414,4.62736026468176
ENSDARG00000018399,4.62322574078802
ENSDARG00000099449,-4.61954291251536
ENSDARG00000035924,-4.61844301844341
ENSDARG00000079684,4.61081232860342
ENSDARG00000020469,-4.60526907020955
ENSDARG00000027187,-4.60167924330862
ENSDARG00000025859,4.59035516761468
ENSDARG00000030368,-4.58372717370816
ENSDARG00000090160,-4.56895309243602
ENSDARG00000033604,4.55377581747727
ENSDARG00000057497,-4.5534204956455
ENSDARG00000011247,-4.54834169116537
ENSDARG00000089354,4.54294014347237
ENSDARG00000039997,4.54233266118637
ENSDARG00000055389,-4.54081782163302
ENSDARG00000052728,-4.54048157382997
ENSDARG00000075014,4.53654253624132
ENSDARG00000100452,-4.53448026854263
ENSDARG00000020761,4.53090310782896
ENSDARG00000017676,4.52937122272005
ENSDARG00000022280,-4.52525727180059
ENSDARG00000059354,4.52382849832034
ENSDARG00000087508,4.50563925041465
ENSDARG00000059856,4.50522360526098
ENSDARG00000006219,-4.50498059250875
ENSDARG00000006624,-4.50495781964899
ENSDARG00000006124,-4.49989935521026
ENSDARG00000057879,4.49985831510872
ENSDARG00000079244,4.49771293281446
ENSDARG00000086057,4.49391002778214
ENSDARG00000056244,4.4912117414947
ENSDARG00000019236,4.48762869557785
ENSDARG00000025824,-4.47636043205903
ENSDARG00000036147,4.46908643814024
ENSDARG00000098897,-4.46869285174359
ENSDARG00000010276,-4.4598842854092
ENSDARG00000042807,4.45736459459018
ENSDARG00000070000,4.45522722189912
ENSDARG00000104037,4.45407431458949
ENSDARG00000097203,4.45103325212025
ENSDARG00000013250,-4.44719690987638
ENSDARG00000010420,4.44711266247767
ENSDARG00000058159,4.44579119280951
ENSDARG00000012820,-4.43968195806217
ENSDARG00000035357,4.43775079351129
ENSDARG00000058734,4.43674568600863
ENSDARG00000044183,4.43506675171679
ENSDARG00000057128,-4.43474607858293
